ds,y
2016-08-30,1142
2017-03-12,650
2016-09-29,460
2016-09-12,1329
2016-09-10,1394
2017-05-28,404
2017-01-23,685
2017-02-20,868
2017-02-27,275
2016-08-14,742
2016-07-07,731
2016-07-09,810
2016-08-22,1854
2016-08-18,2569
2016-06-23,93
2016-11-06,1335
2016-12-24,1848
2017-05-12,864
2016-08-27,1504
2016-07-26,708
2016-07-04,165
2016-06-22,46
2017-02-28,279
2017-03-13,679
2016-09-13,1311
2016-07-05,152
2017-03-15,750
2017-04-16,735
2016-12-18,1442
2016-12-11,1499
2017-05-01,890
2016-12-09,1086
2017-03-09,602
2017-03-05,279
2017-03-18,705
2016-10-17,1236
2016-07-03,127
2016-10-22,1366
2016-10-12,664
2016-09-17,1813
2016-10-28,1125
2017-01-10,1881
2016-08-03,2846
2016-06-14,285
2017-05-26,433
2016-09-16,1361
2016-12-26,1611
2017-03-02,278
2016-09-28,463
2016-08-19,2724
2016-08-12,1756
2017-05-16,864
2016-11-12,1332
2016-06-15,216
2016-07-10,844
2017-04-11,712
2016-12-15,1195
2016-10-20,1415
2017-01-31,696
2016-09-25,448
2016-12-14,1302
2016-06-20,24
2016-10-15,758
2016-10-09,588
2017-04-12,693
2016-11-22,686
2016-08-31,1207
2017-04-24,695
2017-04-25,696
2016-12-28,813
2017-02-24,263
2017-03-01,259
2016-12-13,1161
2017-05-08,738
2017-03-24,163
2016-10-24,1307
2016-06-11,15
2016-10-29,1240
2017-01-11,1814
2016-11-07,1476
2017-03-14,642
2017-01-28,704
2017-01-18,657
2016-07-28,1308
2017-06-01,1662
2016-12-12,1356
2016-12-22,1574
2017-01-14,845
2016-07-15,1873
2017-06-02,1623
2016-10-13,623
2016-10-16,637
2017-03-11,598
2017-01-22,686
2017-02-04,701
2017-02-12,740
2016-06-16,67
2017-04-10,208
2017-01-21,692
2016-12-20,1515
2016-10-08,600
2017-02-17,858
2016-11-21,1279
2017-05-23,444
2017-05-31,730
2016-06-13,43
2017-05-21,791
2017-03-07,725
2017-03-27,169
2016-09-04,84
2017-04-03,179
2017-01-05,487
2017-01-30,777
2016-08-08,2829
2016-08-24,1044
2016-12-23,1770
2017-05-22,764
2017-01-19,686
2016-06-17,44
2016-09-11,1479
2016-08-06,3737
2016-08-10,2507
2016-09-15,1113
2017-02-10,793
2016-08-05,3616
2016-07-13,967
2016-08-20,2578
2016-09-20,1094
2016-07-22,665
2016-08-28,1390
2017-05-17,831
2016-09-06,599
2016-09-22,1075
2016-07-27,1268
2017-05-25,481
2016-09-14,1195
2017-05-07,832
2016-07-25,1313
2016-11-16,1357
2016-11-08,1560
2017-06-05,1801
2017-02-11,778
2016-06-21,24
2016-07-23,489
2017-05-10,739
2016-08-21,2181
2017-04-27,715
2016-07-20,637
2017-03-16,788
2016-12-07,1294
2017-05-18,787
2016-09-23,558
2017-04-04,175
2016-08-04,3250
2017-01-15,841
2016-07-11,806
2016-10-19,1180
2016-11-02,1391
2017-01-20,660
2016-11-09,1287
2017-02-21,653
2016-11-20,1535
2017-02-26,308
2017-04-20,585
2017-05-14,767
2016-08-23,1158
2016-12-27,1573
2017-02-03,703
2016-11-25,534
2016-12-01,1445
2017-04-26,669
2016-09-18,1691
2017-01-27,715
2017-04-22,633
2016-10-27,1163
2016-11-18,1515
2016-11-27,1468
2016-08-13,760
2016-07-12,734
2017-05-11,760
2016-11-13,1402
2017-06-07,1636
2016-11-19,1498
2017-06-04,1774
2016-08-01,1248
2016-10-21,1507
2016-08-25,1066
2016-11-04,1383
2016-07-17,2478
2016-09-24,451
2016-12-03,1466
2016-10-11,608
2016-11-05,1297
2016-10-05,277
2017-03-22,175
2017-02-22,286
2016-07-29,1137
2016-06-12,42
2016-12-04,1607
2016-07-16,2442
2016-09-05,313
2016-12-16,1198
2017-01-25,606
2016-11-17,1441
2016-12-05,1487
2017-02-15,764
2016-10-18,1159
2017-01-12,863
2016-10-23,1351
2017-02-13,745
2017-04-23,640
2017-01-09,1916
2016-09-30,396
2017-06-06,1717
2017-04-18,616
2016-07-01,604
2017-05-03,703
2017-02-01,697
2017-04-05,146
2017-02-09,689
2016-12-02,1370
2016-10-07,548
2017-03-28,160
2017-02-18,813
2016-08-16,857
2016-09-08,1315
2016-09-07,1265
2016-08-02,1806
2016-08-26,1385
2016-07-06,191
2017-01-26,657
2017-01-17,905
2016-08-07,3255
2016-11-10,1388
2017-05-30,426
2017-02-25,329
2016-11-26,1224
2016-08-15,755
2017-01-24,651
2017-05-13,959
2016-11-15,1275
2016-07-30,1228
2016-06-19,42
2017-02-02,671
2016-12-17,1380
2016-08-09,2175
2017-03-03,243
2016-08-11,2409
2016-10-14,611
2016-07-24,424
2016-09-21,1040
2017-05-06,781
2016-09-19,1170
2017-03-08,608
2016-09-01,453
2017-01-06,1877
2017-05-27,437
2017-03-06,660
2017-06-03,1650
2017-02-08,706
2017-03-04,284
2016-10-25,1091
2017-01-08,1857
2016-09-09,1509
2016-08-29,1397
2016-11-14,1439
2016-10-26,1129
2017-02-06,793
2016-07-18,860
2017-03-10,585
2016-08-17,2503
2017-01-13,860
2016-10-10,634
2016-07-08,678
2016-07-14,1605
2017-05-29,412
2016-06-18,43
2017-05-04,677
2017-05-02,803
2017-04-15,686
2016-09-26,469
2016-07-02,380
2016-12-19,1351
2017-05-20,791
2016-11-01,1417
2017-04-21,581
2017-04-14,784
2017-01-16,873
2016-07-31,1070
2016-12-08,1176
2017-04-30,913
2017-04-13,736
2017-04-17,745
2016-11-30,1429
2017-03-20,697
2016-11-11,1263
2016-10-06,504
2016-07-21,826
2016-12-21,1567
2016-07-19,653
2016-12-06,1322
2017-03-17,755
2017-04-28,711
2017-02-14,715
2017-01-07,1831
