ds,y
2016-08-30,4.69
2017-03-12,3.54
2016-09-29,3.12
2016-09-12,3.06
2016-09-10,3.18
2017-05-28,4.1
2017-01-23,3.46
2017-02-20,3.42
2017-02-27,3.54
2016-08-14,4.63
2016-07-07,2.99
2016-07-09,2.67
2016-08-22,4.77
2016-08-18,5.11
2016-06-23,4.86
2016-11-06,3.21
2016-12-24,3.01
2017-05-12,3.82
2016-08-27,4.64
2016-07-26,4.62
2016-07-04,3.91
2016-06-22,7.47
2017-02-28,3.63
2017-03-13,3.71
2016-09-13,3.05
2016-07-05,3.24
2017-03-15,3.41
2017-04-16,3.59
2016-12-18,3.39
2016-12-11,3.32
2017-05-01,3.65
2016-12-09,3.47
2017-03-09,3.44
2017-03-05,3.78
2017-03-18,3.52
2016-10-17,2.95
2016-07-03,4.7
2016-10-22,2.97
2016-10-12,3.2
2016-09-17,3.08
2016-10-28,2.91
2017-01-10,2.96
2016-08-03,5
2016-06-14,44.38
2017-05-26,4.12
2016-09-16,3.16
2016-12-26,3
2017-03-02,3.76
2016-09-28,3.24
2016-08-19,5.19
2016-08-12,5.29
2017-05-16,3.93
2016-11-12,3.23
2016-06-15,41.13
2016-07-10,2.45
2017-04-11,3.65
2016-12-15,3.39
2016-10-20,2.97
2017-01-31,3.33
2016-09-25,3.22
2016-12-14,3.31
2016-06-20,9.02
2016-10-15,2.74
2016-10-09,3.12
2017-04-12,3.78
2016-11-22,3.25
2016-08-31,4.35
2017-04-24,3.67
2017-04-25,3.77
2016-12-28,3.28
2017-02-24,3.61
2017-03-01,3.61
2016-12-13,3.44
2017-05-08,3.7
2017-03-24,2.96
2016-10-24,2.99
2016-06-11,33.82
2016-10-29,3.01
2017-01-11,3.14
2016-11-07,3.23
2017-03-14,3.48
2017-01-28,3.33
2017-01-18,3.53
2016-07-28,4.87
2017-06-01,4.45
2016-12-12,3.43
2016-12-22,3.19
2017-01-14,3.3
2016-07-15,4.25
2017-06-02,4.28
2016-10-13,3.13
2016-10-16,2.97
2017-03-11,3.41
2017-01-22,3.41
2017-02-04,3.37
2017-02-12,3.47
2016-06-16,28.27
2017-04-10,3.67
2017-01-21,3.41
2016-12-20,3.28
2016-10-08,3.03
2017-02-17,3.36
2016-11-21,3.24
2017-05-23,4.12
2017-05-31,4.19
2016-06-13,40.66
2017-05-21,3.99
2017-03-07,3.47
2017-03-27,3.07
2016-09-04,3.68
2017-04-03,3.04
2017-01-05,3.47
2017-01-30,3.3
2016-08-08,5.01
2016-08-24,4.8
2016-12-23,3.1
2017-05-22,3.87
2017-01-19,3.29
2016-06-17,29.14
2016-09-11,3.19
2016-08-06,4.84
2016-08-10,5.42
2016-09-15,3.15
2017-02-10,3.3
2016-08-05,4.96
