ds,y
2016-08-30,167216
2017-03-12,18083
2016-09-29,26732
2016-09-12,88877
2016-09-10,80957
2017-05-28,11154
2017-01-23,16749
2017-02-20,16797
2017-02-27,6399
2016-08-14,130667
2016-07-07,131213
2016-07-09,126966
2016-08-22,376509
2016-08-18,300684
2016-06-23,24201
2016-11-06,44954
2016-12-24,98977
2017-05-12,24833
2016-08-27,163342
2016-07-26,155600
2016-07-04,41427
2016-06-22,5281
2017-02-28,5914
2017-03-13,21085
2016-09-13,87237
2016-07-05,43063
2017-03-15,21383
2017-04-16,16927
2016-12-18,62386
2016-12-11,59243
2017-05-01,26684
2016-12-09,41829
2017-03-09,21873
2017-03-05,7889
2017-03-18,17892
2016-10-17,37552
2016-07-03,10286
2016-10-22,39869
2016-10-12,29259
2016-09-17,80217
2016-10-28,30167
2017-01-10,98567
2016-08-03,481277
2016-06-14,17465
2017-05-26,15065
2016-09-16,71140
2016-12-26,83652
2017-03-02,6191
2016-09-28,26058
2016-08-19,395105
2016-08-12,288934
2017-05-16,26301
2016-11-12,48230
2016-06-15,16263
2016-07-10,124374
2017-04-11,18891
2016-12-15,57097
2016-10-20,41699
2017-01-31,16327
2016-09-25,20745
2016-12-14,59515
2016-06-20,3228
2016-10-15,25950
2016-10-09,21855
2017-04-12,20414
2016-11-22,26313
2016-08-31,179895
2017-04-24,21212
2017-04-25,20754
2016-12-28,16162
2017-02-24,6070
2017-03-01,5751
2016-12-13,50092
2017-05-08,23557
2017-03-24,3498
2016-10-24,39145
2016-06-11,829
2016-10-29,31568
2017-01-11,92201
2016-11-07,51497
2017-03-14,19224
2017-01-28,16263
2017-01-18,13883
2016-07-28,324814
2017-06-01,54549
2016-12-12,59308
2016-12-22,83524
2017-01-14,30870
2016-07-15,666421
2017-06-02,51997
2016-10-13,24255
2016-10-16,26413
2017-03-11,18948
2017-01-22,15656
2017-02-04,16841
2017-02-12,14946
2016-06-16,5714
2017-04-10,4330
2017-01-21,16111
2016-12-20,77101
2016-10-08,22630
2017-02-17,16474
2016-11-21,49991
2017-05-23,17658
2017-05-31,21052
2016-06-13,2499
2017-05-21,17756
2017-03-07,21961
2017-03-27,3936
2016-09-04,5873
2017-04-03,5293
2017-01-05,17642
2017-01-30,18600
2016-08-08,632232
2016-08-24,163260
2016-12-23,87173
2017-05-22,24620
2017-01-19,14940
2016-06-17,3260
2016-09-11,79067
2016-08-06,778450
2016-08-10,463720
2016-09-15,62090
2017-02-10,16572
2016-08-05,673047
2016-07-13,268407
2016-08-20,344730
2016-09-20,59003
2016-07-22,237701
2016-08-28,132535
2017-05-17,25179
2016-09-06,57710
2016-09-22,57859
2016-07-27,230072
2017-05-25,16472
2016-09-14,68265
2017-05-07,20867
2016-07-25,327476
2016-11-16,54329
2016-11-08,64846
2017-06-05,56318
2017-02-11,16402
2016-06-21,3900
2016-07-23,159988
2017-05-10,22661
2016-08-21,313001
2017-04-27,21726
2016-07-20,250591
2017-03-16,21650
2016-12-07,62026
2017-05-18,27534
2016-09-23,33507
2017-04-04,4519
2016-08-04,524025
2017-01-15,30844
2016-07-11,173247
2016-10-19,39535
2016-11-02,44585
2017-01-20,13724
2016-11-09,52792
2017-02-21,13386
2016-11-20,50388
2017-02-26,6345
2017-04-20,18858
2017-05-14,20237
2016-08-23,185535
2016-12-27,59998
2017-02-03,15853
2016-11-25,24544
2016-12-01,58031
2017-04-26,23120
2016-09-18,78883
2017-01-27,17093
2017-04-22,17151
2016-10-27,32439
2016-11-18,58297
2016-11-27,63800
2016-08-13,161530
2016-07-12,192143
2017-05-11,24729
2016-11-13,47639
2017-06-07,54006
2016-11-19,56400
2017-06-04,46642
2016-08-01,338190
2016-10-21,42789
2016-08-25,140904
2016-11-04,43161
2016-07-17,1342400
2016-09-24,20835
2016-12-03,48658
2016-10-11,22705
2016-11-05,43088
2016-10-05,11151
2017-03-22,3640
2017-02-22,5811
2016-07-29,271414
2016-06-12,2772
2016-12-04,48851
2016-07-16,678655
2016-09-05,20175
2016-12-16,57388
2017-01-25,15065
2016-11-17,55603
2016-12-05,53489
2017-02-15,15085
2016-10-18,39184
2017-01-12,33570
2016-10-23,39514
2017-02-13,16028
2017-04-23,16503
2017-01-09,91491
2016-09-30,20597
2017-06-06,54061
2017-04-18,19303
2016-07-01,54476
2017-05-03,24808
2017-02-01,17987
